,Category,Quote,Image-link,Quote-url
19,EXPLORING,"You have to create your life. You have to carve it, like a sculpture. ",https://assets.passiton.com/quotes/quote_artwork/8369/medium/20230118_wednesday_quote.jpg,/inspirational-quotes/8369-you-have-to-create-your-life-you-have-to-carve
20,EXPLORING,"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience. ",https://assets.passiton.com/quotes/quote_artwork/7473/medium/20230117_tuesday_quote.jpg,/inspirational-quotes/7473-the-purpose-of-life-is-to-live-it-to-taste
21,EXPLORING,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward. ",https://assets.passiton.com/quotes/quote_artwork/8293/medium/20230116_monday_quote.jpg,/inspirational-quotes/8293-if-you-cant-fly-then-run-if-you-cant-run-then
22,KINDNESS,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world.  ,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20230113_friday_quote.jpg,/inspirational-quotes/6382-ask-yourself-have-you-been-kind-today-make
23,KINDNESS,One kind word can warm three winter months. ,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20230112_thursday_quote.jpg,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months
24,KINDNESS,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on. ",https://assets.passiton.com/quotes/quote_artwork/8368/medium/20230111_wednesday_quote.jpg,/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and
25,KINDNESS,"Do things for people not because of who they are or what they do in return, but because of who you are. ",https://assets.passiton.com/quotes/quote_artwork/8168/medium/20230110_tuesday_quote.jpg,/inspirational-quotes/8168-do-things-for-people-not-because-of-who-they
26,KINDNESS,"Ah, kindness. What a simple way to tell another struggling soul that there is love to be found in the world. ",https://assets.passiton.com/quotes/quote_artwork/8269/medium/20230109_monday_quote.jpg,/inspirational-quotes/8269-ah-kindness-what-a-simple-way-to-tell-another
27,HELPING OTHERS,"One of the greatest things you can do to help others is not just to share and give what you have, but to help them discover what they have within themselves to help themselves. ",https://assets.passiton.com/quotes/quote_artwork/7628/medium/20220106_friday_quote.jpg,/inspirational-quotes/7628-one-of-the-greatest-things-you-can-do-to-help
28,HELPING OTHERS,Believe that there's light at the end of the tunnel. Believe that you might be that light for someone else. ,https://assets.passiton.com/quotes/quote_artwork/6255/medium/20220105_thursday_quote.jpg,/inspirational-quotes/6255-believe-that-theres-light-at-the-end-of-the
29,HELPING OTHERS,"Great opportunities to help others seldom come, but small ones surround us every day. ",https://assets.passiton.com/quotes/quote_artwork/3700/medium/20220104_wednesday_quote.jpg,/inspirational-quotes/3700-great-opportunities-to-help-others-seldom-come
30,HELPING OTHERS,"If you get, give. If you learn, teach. ",https://assets.passiton.com/quotes/quote_artwork/8020/medium/20220103_tuesday_quote.jpg,/inspirational-quotes/8020-if-you-get-give-if-you-learn-teach
31,HELPING OTHERS,"When I was a boy and I would see scary things in the news, my mother would say to me, ‘Look for the helpers. You will always find people who are helping.’ ",https://assets.passiton.com/quotes/quote_artwork/8056/medium/20220102_monday_quote.jpg,/inspirational-quotes/8056-when-i-was-a-boy-and-i-would-see-scary-things
32,OPTIMISM,"If the world seems cold to you, kindle fires to warm it. ",https://assets.passiton.com/quotes/quote_artwork/4995/medium/20221230_friday_quote_happy_new_year.jpg,/inspirational-quotes/4995-if-the-world-seems-cold-to-you-kindle-fires-to
33,OPTIMISM,The future belongs to those who believe in the beauty of their dreams. ,https://assets.passiton.com/quotes/quote_artwork/3998/medium/20221229_thursday_quote.jpg,/inspirational-quotes/3998-the-future-belongs-to-those-who-believe-in-the
34,OPTIMISM,"If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome. ",https://assets.passiton.com/quotes/quote_artwork/6905/medium/20221228_wednesday_quote.jpg,/inspirational-quotes/6905-if-we-had-no-winter-the-spring-would-not-be-so
35,OPTIMISM,"Become a possibilitarian. No matter how dark things seem to be or actually are, raise your sights and see possibilities—always see them, for they’re always there. ",https://assets.passiton.com/quotes/quote_artwork/6732/medium/20221227_tuesday_quote.jpg,/inspirational-quotes/6732-become-a-possibilitarian-no-matter-how-dark
36,OPTIMISM,"Love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we’ll change the world. ",https://assets.passiton.com/quotes/quote_artwork/7377/medium/20221226_monday_quote.jpg,/inspirational-quotes/7377-love-is-better-than-anger-hope-is-better-than
37,GIVING,Do all the good you can. By all the means you can. In all the ways you can. In all the places you can. At all the times you can. To all the people you can. As long as ever you can. ,https://assets.passiton.com/quotes/quote_artwork/7155/medium/20221223_friday_quote_happy_holidays.jpg,/inspirational-quotes/7155-do-all-the-good-you-can-by-all-the-means-you
38,GIVING,No one has ever become poor by giving. ,https://assets.passiton.com/quotes/quote_artwork/7159/medium/20221222_thursday_quote.jpg,/inspirational-quotes/7159-no-one-has-ever-become-poor-by-giving
39,GIVING,"Wherever there is a human in need, there is an opportunity for kindness and to make a difference. ",https://assets.passiton.com/quotes/quote_artwork/4692/medium/20221221_wednesday_quote.jpg,/inspirational-quotes/4692-wherever-there-is-a-human-in-need-there-is-an
40,GIVING,"From what we get, we can make a living; what we give, however, makes a life. ",https://assets.passiton.com/quotes/quote_artwork/3059/medium/20221220_tuesday_quote.jpg,/inspirational-quotes/3059-from-what-we-get-we-can-make-a-living-what-we
41,GIVING,"The heart that gives, gathers. ",https://assets.passiton.com/quotes/quote_artwork/7157/medium/20221219_monday_quote.jpg,/inspirational-quotes/7157-the-heart-that-gives-gathers
42,COMMON GROUND,"Touch the earth, speak of love, walk on common ground. ",https://assets.passiton.com/quotes/quote_artwork/7560/medium/20221216_friday_quote.jpg,/inspirational-quotes/7560-touch-the-earth-speak-of-love-walk-on-common
43,COMMON GROUND,We all live with the objective of being happy; our lives are all different and yet the same. ,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20221215_thursday_quote.jpg,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy
44,COMMON GROUND,We can find common ground only by moving to higher ground. ,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20221214_wednesday_quote.jpg,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to
45,COMMON GROUND,Our similarities bring us to a common ground; our differences allow us to be fascinated by each other. ,https://assets.passiton.com/quotes/quote_artwork/4406/medium/20221213_tuesday_quote.jpg,/inspirational-quotes/4406-our-similarities-bring-us-to-a-common-ground
46,COMMON GROUND,We can learn to see each other and see ourselves in each other and recognize that human beings are more alike than we are unalike. ,https://assets.passiton.com/quotes/quote_artwork/7337/medium/20221212_monday_quote.jpg,/inspirational-quotes/7337-we-can-learn-to-see-each-other-and-see
47,HOPE,Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. ,https://assets.passiton.com/quotes/quote_artwork/6731/medium/20221209_friday_quote.jpg,/inspirational-quotes/6731-infuse-your-life-with-action-dont-wait-for-it
48,HOPE,"It's not enough to have lived. We should be determined to live for something. May I suggest that it be creating joy for others, sharing what we have for the betterment of personkind, bringing hope to the lost and love to the lonely. ",https://assets.passiton.com/quotes/quote_artwork/7027/medium/20221208_thursday_quote.jpg,/inspirational-quotes/7027-its-not-enough-to-have-lived-we-should-be
49,HOPE,"Hope sees the invisible, feels the intangible, and achieves the impossible. ",https://assets.passiton.com/quotes/quote_artwork/8155/medium/20221207_wednesday_quote.jpg,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible
50,HOPE,Hope is the thing with feathers that perches in the soul and sings the tunes without the words and never stops at all. ,https://assets.passiton.com/quotes/quote_artwork/3313/medium/20221205_monday_quote.jpg,/inspirational-quotes/3313-hope-is-the-thing-with-feathers-that-perches-in
51,HOPE,It is often in the darkest skies that we see the brightest stars. ,https://assets.passiton.com/quotes/quote_artwork/7176/medium/20221206_tuesday_quote.jpg,/inspirational-quotes/7176-it-is-often-in-the-darkest-skies-that-we-see
52,ACHIEVEMENT,"Accomplishments will prove to be a journey, not a destination. ",https://assets.passiton.com/quotes/quote_artwork/6715/medium/20221202_friday_quote.jpg,/inspirational-quotes/6715-accomplishments-will-prove-to-be-a-journey-not
53,ACHIEVEMENT,"Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.  ",https://assets.passiton.com/quotes/quote_artwork/7617/medium/20221201_thursday_quote.jpg,/inspirational-quotes/7617-make-the-most-of-yourself-by-fanning-the-tiny
54,ACHIEVEMENT,"There is no magic to achievement. It’s really about hard work, choices, and persistence. ",https://assets.passiton.com/quotes/quote_artwork/8013/medium/20221130_wednesday_quote.jpg,/inspirational-quotes/8013-there-is-no-magic-to-achievement-it-s-really
55,ACHIEVEMENT,It doesn't matter who you are or where you come from. The ability to triumph begins with you. ,https://assets.passiton.com/quotes/quote_artwork/5472/medium/20221129_tuesday_quote.jpg,/inspirational-quotes/5472-it-doesnt-matter-who-you-are-or-where-you-come
56,ACHIEVEMENT,"To achieve the impossible, it is precisely the unthinkable that must be thought. ",https://assets.passiton.com/quotes/quote_artwork/3970/medium/20221128_monday_quote.jpg,/inspirational-quotes/3970-to-achieve-the-impossible-it-is-precisely-the
57,GRATITUDE,"The more grateful I am, the more beauty I see. ",https://assets.passiton.com/quotes/quote_artwork/8367/medium/20221125_friday_quote.jpg,/inspirational-quotes/8367-the-more-grateful-i-am-the-more-beauty-i-see
58,GRATITUDE,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them. ",https://assets.passiton.com/quotes/quote_artwork/7426/medium/20221124_thursday_quote.jpg,/inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never
59,GRATITUDE,At times our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lit the flame within us. ,https://assets.passiton.com/quotes/quote_artwork/4036/medium/20221123_wednesday_quote.jpg,/inspirational-quotes/4036-at-times-our-own-light-goes-out-and-is
60,GRATITUDE,"In our daily lives, we must see that it is not happiness that makes us grateful, but the gratefulness that makes us happy. ",https://assets.passiton.com/quotes/quote_artwork/3227/medium/20221122_tuesday_quote.jpg,/inspirational-quotes/3227-in-our-daily-lives-we-must-see-that-it-is-not
61,GRATITUDE,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. ",https://assets.passiton.com/quotes/quote_artwork/8160/medium/20221121_monday_quote.jpg,/inspirational-quotes/8160-gratitude-unlocks-the-fullness-of-life-it
62,CHARITY,"Work and live to serve others, leave the world a little better than you found it. ",https://assets.passiton.com/quotes/quote_artwork/6179/medium/20221118_friday_quote.jpg,/inspirational-quotes/6179-work-and-live-to-serve-others-leave-the-world
63,CHARITY,"Generosity consists not the sum given, but the manner in which it is bestowed. ",https://assets.passiton.com/quotes/quote_artwork/7565/medium/20221117_thursday_quote.jpg,/inspirational-quotes/7565-generosity-consists-not-the-sum-given-but-the
64,CHARITY,"Charity and love are the same—with charity you give love, so don't just give money but reach out your hand instead. ",https://assets.passiton.com/quotes/quote_artwork/7256/medium/20221116_wednesday_quote.jpg,/inspirational-quotes/7256-charity-and-love-are-the-same-with-charity-you
65,CHARITY,"In necessary things, unity; in disputed things, liberty; in all things, charity. ",https://assets.passiton.com/quotes/quote_artwork/3103/medium/20221115_tuesday_quote.jpg,/inspirational-quotes/3103-in-necessary-things-unity-in-disputed-things
66,CHARITY,Charity is the root of all good works. ,https://assets.passiton.com/quotes/quote_artwork/7753/medium/20221114_monday_quote.jpg,/inspirational-quotes/7753-charity-is-the-root-of-all-good-works
67,PRACTICE,"If you want others to be happy, practice compassion; if you want to be happy, practice compassion.  ",https://assets.passiton.com/quotes/quote_artwork/6316/medium/20221111_friday_quote.jpg,/inspirational-quotes/6316-if-you-want-others-to-be-happy-practice
68,PRACTICE,"I know you've heard it a thousand times before, but it's true... hard work pays off. If you want to be good, you have to practice, practice, practice. ",https://assets.passiton.com/quotes/quote_artwork/7287/medium/20221110_thursday_quote.jpg,/inspirational-quotes/7287-i-know-youve-heard-it-a-thousand-times-before
69,PRACTICE,"Do it again. Play it again. Sing it again. Read it again. Write it again. Sketch it again. Rehearse it again. Run it again. Try it again.
Because again is practice, and practice is improvement. ",https://assets.passiton.com/quotes/quote_artwork/7836/medium/20221109_wednesday_quote.jpg,/inspirational-quotes/7836-do-it-again-play-it-again-sing-it-again-read
70,PRACTICE,"Take chances, make mistakes. That's how you grow. ",https://assets.passiton.com/quotes/quote_artwork/7834/medium/20221108_tuesday_quote.jpg,/inspirational-quotes/7834-take-chances-make-mistakes-thats-how-you-grow
71,PRACTICE,Practice is the best of all instructors. ,https://assets.passiton.com/quotes/quote_artwork/6797/medium/20221107_monday_quote.jpg,/inspirational-quotes/6797-practice-is-the-best-of-all-instructors
72,GET OUTSIDE,The world is incomprehensibly beautiful—an endless prospect of magic and wonder. ,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20221104_friday_quote.jpg,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an
73,GET OUTSIDE,"To be whole. To be complete. Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from. ",https://assets.passiton.com/quotes/quote_artwork/7511/medium/20221103_thursday_quote.jpg,/inspirational-quotes/7511-to-be-whole-to-be-complete-wildness-reminds
74,GET OUTSIDE,"Of all the paths you take in life, make sure a few of them are dirt. ",https://assets.passiton.com/quotes/quote_artwork/8224/medium/20221102_wednesday_quote.jpg,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a
75,GET OUTSIDE,Nature brings solace in all troubles. ,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20221101_tuesday_quote.jpg,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles
76,GET OUTSIDE,An early morning walk is a blessing for the whole day. ,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20221031_monday_quote.jpg,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the
77,FORGIVENESS,To forgive is to set a prisoner free and discover that the prisoner was you. ,https://assets.passiton.com/quotes/quote_artwork/4080/medium/20221028_friday_quote.jpg,/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and
78,FORGIVENESS,"Without forgiveness, there's no future. ",https://assets.passiton.com/quotes/quote_artwork/4448/medium/20221027_thursday_quote.jpg,/inspirational-quotes/4448-without-forgiveness-theres-no-future
79,FORGIVENESS,"You have many choices. You can choose forgiveness over revenge, joy over despair. You can choose action over apathy. ",https://assets.passiton.com/quotes/quote_artwork/3794/medium/20221026_wednesday_quote.jpg,/inspirational-quotes/3794-you-have-many-choices-you-can-choose
80,FORGIVENESS,"Mistakes are always forgivable, if one has the courage to admit them. ",https://assets.passiton.com/quotes/quote_artwork/8365/medium/20221025_tuesday_quote.jpg,/inspirational-quotes/8365-mistakes-are-always-forgivable-if-one-has-the
81,FORGIVENESS,True forgiveness is when you can say ‘Thank you for that experience’. ,https://assets.passiton.com/quotes/quote_artwork/8205/medium/20221024_monday_quote.jpg,/inspirational-quotes/8205-true-forgiveness-is-when-you-can-say-thank-you
82,CHARACTER,"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character. ",https://assets.passiton.com/quotes/quote_artwork/8152/medium/20221021_friday_quote.jpg,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this
83,CHARACTER,"You may encounter many defeats, but you must not be defeated. In fact, it may be necessary to encounter the defeats, so you can know who you are, what you can rise from, how you can still come out of it. ",https://assets.passiton.com/quotes/quote_artwork/7410/medium/20221020_thursday_quote.jpg,/inspirational-quotes/7410-you-may-encounter-many-defeats-but-you-must
84,CHARACTER,People grow through experience if they meet life honestly and courageously. This is how character is built. ,https://assets.passiton.com/quotes/quote_artwork/4393/medium/20221019_wednesday_quote.jpg,/inspirational-quotes/4393-people-grow-through-experience-if-they-meet
85,CHARACTER,Our character is what we do when we think no one is looking. ,https://assets.passiton.com/quotes/quote_artwork/7367/medium/20221018_tuesday_quote.jpg,/inspirational-quotes/7367-our-character-is-what-we-do-when-we-think-no
86,CHARACTER,Character consists of what you do on the third and fourth tries. ,https://assets.passiton.com/quotes/quote_artwork/3819/medium/20221017_monday_quote.jpg,/inspirational-quotes/3819-character-consists-of-what-you-do-on-the-third
87,LAUGHTER,"Laugh my friend, for laughter ignites a fire within the pit of your belly and awakens your being. ",https://assets.passiton.com/quotes/quote_artwork/7461/medium/20221014_friday_quote.jpg,/inspirational-quotes/7461-laugh-my-friend-for-laughter-ignites-a-fire
88,LAUGHTER,The most wasted of all days is one without laughter. ,https://assets.passiton.com/quotes/quote_artwork/7462/medium/20221013_thursday_quote.jpg,/inspirational-quotes/7462-the-most-wasted-of-all-days-is-one-without
89,LAUGHTER,In all of living have much joy and laughter. Life is to be enjoyed not just endured. ,https://assets.passiton.com/quotes/quote_artwork/8350/medium/20221012_wednesday_quote.jpg,/inspirational-quotes/8350-in-all-of-living-have-much-joy-and-laughter
90,LAUGHTER,"May your walls know joy, may every room hold laughter, and every window open to great possibility. ",https://assets.passiton.com/quotes/quote_artwork/6344/medium/20221011_tuesday_quote.jpg,/inspirational-quotes/6344-may-your-walls-know-joy-may-every-room-hold
91,LAUGHTER,Laughter is the shortest distance between two people. ,https://assets.passiton.com/quotes/quote_artwork/3137/medium/20221010_monday_quote.jpg,/inspirational-quotes/3137-laughter-is-the-shortest-distance-between-two
92,LISTENING,Listen carefully. The answers to our deepest questions are often whispered. ,https://assets.passiton.com/quotes/quote_artwork/8364/medium/20221007_friday_quote.jpg,/inspirational-quotes/8364-listen-carefully-the-answers-to-our-deepest
93,LISTENING,With the gift of listening comes the gift of healing. ,https://assets.passiton.com/quotes/quote_artwork/8363/medium/20221006_thursday_quote.jpg,/inspirational-quotes/8363-with-the-gift-of-listening-comes-the-gift-of
94,LISTENING,"Listening is about being present, not just about being quiet. ",https://assets.passiton.com/quotes/quote_artwork/8362/medium/20221005_wednesday_quote.jpg,/inspirational-quotes/8362-listening-is-about-being-present-not-just
95,LISTENING,"Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around. ",https://assets.passiton.com/quotes/quote_artwork/7323/medium/20221004_tuesday_quote.jpg,/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a
96,LISTENING,Listening is where love begins: listening to ourselves and then to our neighbors. ,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20221003_monday_quote.jpg,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to
97,HUMILITY,Be humble in your confidence yet courageous in your character. ,https://assets.passiton.com/quotes/quote_artwork/7921/medium/20220930_friday_quote.jpg,/inspirational-quotes/7921-be-humble-in-your-confidence-yet-courageous-in
98,HUMILITY,"Humility is not thinking less of yourself, it's thinking of yourself less. ",https://assets.passiton.com/quotes/quote_artwork/7920/medium/20220929_thursday_quote.jpg,/inspirational-quotes/7920-humility-is-not-thinking-less-of-yourself-its
99,HUMILITY,True humility is being able to accept criticisms as graciously as we accept compliments. ,https://assets.passiton.com/quotes/quote_artwork/7039/medium/20220928_wednesday_quote.jpg,/inspirational-quotes/7039-true-humility-is-being-able-to-accept
100,HUMILITY,Pride is concerned with who is right. Humility is concerned with what is right. ,https://assets.passiton.com/quotes/quote_artwork/7922/medium/20220927_tuesday_quote.jpg,/inspirational-quotes/7922-pride-is-concerned-with-who-is-right-humility
101,HUMILITY,Humility is the solid foundation of all virtues. ,https://assets.passiton.com/quotes/quote_artwork/8094/medium/20220926_monday_quote.jpg,/inspirational-quotes/8094-humility-is-the-solid-foundation-of-all-virtues
102,ACCEPTANCE,Acceptance doesn't mean resignation; it means understanding that something is what it is and that there's got to be a way through it. ,https://assets.passiton.com/quotes/quote_artwork/8361/medium/20220923_friday_quote.jpg,/inspirational-quotes/8361-acceptance-doesnt-mean-resignation-it-means
103,ACCEPTANCE,I think tolerance and acceptance and love is something that feeds every community. ,https://assets.passiton.com/quotes/quote_artwork/7803/medium/20220922_thursday_quote.jpg,/inspirational-quotes/7803-i-think-tolerance-and-acceptance-and-love-is
104,ACCEPTANCE,"Acceptance is simply love in practice. When you love, you accept, when you lack love, you judge. ",https://assets.passiton.com/quotes/quote_artwork/8254/medium/20220921_wednesday_quote.jpg,/inspirational-quotes/8254-acceptance-is-simply-love-in-practice-when-you
105,ACCEPTANCE,"As I get older, the more I stay focused on the acceptance of myself and others, and choose compassion over judgment and curiosity over fear. ",https://assets.passiton.com/quotes/quote_artwork/8017/medium/20220920_tuesday_quote.jpg,/inspirational-quotes/8017-as-i-get-older-the-more-i-stay-focused-on-the
106,DEDICATION,"It's worth remembering that it is often the small steps, not the giant leaps, that bring about the most lasting change. ",https://assets.passiton.com/quotes/quote_artwork/8360/medium/20220919_monday_quote.jpg,/inspirational-quotes/8360-its-worth-remembering-that-it-is-often-the
107,BELIEVE IN YOURSELF,Believe in yourself and go for it. ,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20220916_friday_quote.jpg,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it
108,BELIEVE IN YOURSELF,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe. ",https://assets.passiton.com/quotes/quote_artwork/6840/medium/20220915_thursday_quote.jpg,/inspirational-quotes/6840-keep-your-dreams-alive-understand-to-achieve
109,BELIEVE IN YOURSELF,"Either I will find a way, or I will make one. ",https://assets.passiton.com/quotes/quote_artwork/8358/medium/20220914_wednesday_quote.jpg,/inspirational-quotes/8358-either-i-will-find-a-way-or-i-will-make-one
110,BELIEVE IN YOURSELF,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle. ,https://assets.passiton.com/quotes/quote_artwork/6545/medium/20220913_tuesday_quote.jpg,/inspirational-quotes/6545-believe-in-yourself-and-all-that-you-are-know
111,BELIEVE IN YOURSELF,"Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible. ",https://assets.passiton.com/quotes/quote_artwork/8011/medium/20220912_monday_quote.jpg,/inspirational-quotes/8011-don-t-let-others-tell-you-what-you-can-t-do
112,SMILE,"Don't cry because it's over, smile because it happened. ",https://assets.passiton.com/quotes/quote_artwork/7042/medium/20220909_friday_quote.jpg,/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it
113,SMILE,A smile is a curve that sets everything straight.  ,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20220908_thursday_quote.jpg,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight
114,SMILE,"Just one smile, immensely increases the beauty, of the universe. ",https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty
115,SMILE,"If you see someone without a smile, give them one of yours. ",https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them
116,PEACE,"Every breath we take, every step we make, can be filled with peace, joy and serenity. ",https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can
117,PEACE,"When we create peace and harmony and balance in our minds, we will find it in our lives.  ",https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in
